yet		все же, еще
still		до сих пор, все еще
unless		если не, пока не
until		до
that		что, что бы, тот, те
to tidy up / to clean out	тайді ап	прибирати
suddenly		вдруг, внезапно
to sink(sank, sunk)		тонуть, опускаться
a decision		решение
almost	Олмоуст	почти
lately	лейтлі	в последнее время, недавно
though	зооу	 хотя, наче, ніби, однако
to seem (like)		здаватися (як)
fault	фолт	вина, ошибка, неисправность, 
to wonder		 удивляться, интересоваться
an opinion	опінієн	мнение
cause	коз	причина, повод, причинять, заставлять
wear, wore, worn	веар, вор, ворн.	носить, изнашивать
bring, brought, brought	брін/броу'т	приносить, приводить, привозить
hear, heard, heard	хір, хорд, хорд	слішать, слушать
let, let, let		позволять, разрешать, давать
to taste		вкус, отведать, попробовать
through	с*ру	через, по, сквозь, внутри
decide		решить, принять решение
hurt, hurt, hurt	хорт	повредить, болеть, ушибать
bottom	ботм	дно, низ
fridge	фридж	холодильник
explain	іксплейн	обьяснять
borrow (from)		заимствовать, занять y
(to be) proud (of)	прауд	гордый, надменный за
pleased / pleasant / unpleasant	плизд	довольный / приємний / не приємний
excite	ікссайт	возбуждать, волновать
round		круглий
trу on		мiряти
familiar/famous	фемілієр	знайомий/відомий
expensive	ікспЕнзів	дорогий, дорого
efficient	еффішнт	ефективний
frequent	фріквент	частий
frequently	фріквентлі	часто
consider / consumer		розглядати, обмірковувати, вважати / споживач
It seems like ...		здається ніби ...
allow	еллОу	позволять, разрешать, давать
a little bit		трохи
at least		как минимум, по крайней мере
even		даже, ровно, как раз, точно
yet		все же, еще
definitely	дЕфінітлі	напевно, точно, определенно
own		собственный
wish		желание, желать, захотеть
bowl		миска
spoon		ложка
wallet	вОллет	гаманець
wheel		колесо
expensive	ікспензів	дорогий, дорого
powder		порошок
fork		виделка
less than		менше ніж
appear/disappear	еппіір	з'являтися, показуватися / зникати
look for		шукати
look like		виглядає як
fill in		заповнювати, наповнювати
dry	джрай	сушу, сушити
plate		тарілка
deliver		доставляти, розносити
serve		служити, подавати
demand		вимога, требование
explain		пояснювати
Although	Олзоу	хотя, если бы даже, не смотря на то что
occur	оккае	случаться, иметь место, происходить
keep (kept)		держать, хранить, вести, охранять
rain		сипати, литися, дощ
place		розміщати, місце
leave (left)		покидати
change		решта
difficulty		складність
(the) same		той самий, подiбний
entry		Запис, вхiд
opportunity	оппортьюнiтi	можливiсть, зручний випадок (більш реальне поняття)
possibility		можливiсть (більш теоретичне поняття)
performance		представление, эффективность
goal		цiль
achievement		досягнення
collaborate		співпрацювати
abroad		закордон
foreign corporations		іноземні корпорації
engage		заниматься, привлекать
deep		глубина
become, became, become		ставати, робитися
force		змусити, примусити,сила
perform		виконувати, показувати, творити
prepare		виготовити, пiдготувати, ремонтувати
reduce		зменшити, понизити
pass		проходити, минати, передати
assume		припускати, брати на себе
whom		кого, кому
cover		накривати, кришка, чехол
apply		подати заявку, використовувати
consider		розглядати, обмірковувати, вважати
fit		пiдходити, вмiщуватись, пристосовувати
avoid		уникати, вiдмiняти, цуратися
prevent		запобігти, вiдвертати
to serve		служити, подавати
to reach/rich		досягати/богатий
to affect		діяти, впливати, вадити
assume		вважати, припускати, брати на себе
feel felt felt		відчувати, почувати, щупати
earn		заробляти
benefit		вигода, користь
attempt		спроба
aim		мета, цілитися
behavior		поведінка
consequence		наслідок, висновок
desire		бажати, хотіти
favor		послуга, підтримка
conversation		розмова
environment	інвайормент	навколишнє середовище
hardware		апаратні засоби
software	софтвер*	програмне забезпечення
provide		забезпечити
arm		рука, зброя
lips		губи
ill, sick		хворий, погане відчуття
court		суд
implementation		реалізація
hence		отже, звідси, з цього часу
neither	нізее	ні, ніхто, ніщо, жоден
purpose	пепес	мета, замишляти
advice / advisor		порада, консультація / радник, консультант
are going		збираємось
apply		застосувати
assume		припустити
establish		встановити, влаштувати
volume		обьем, громкость
delicious		смачний, прекрасний
argue		спорят, аргументировать, доказывать
straw	стро	солома
sand		песок
handy		удобный, легкоуправляемый
favor		одолжение, любезность, благоприпятствовать
should've		надо было
slippery		скользкий, проворный
slut		развязная девочка
obviostly	обвиосли	очевидно, явно
climb		взбираться, лазить, набирать высоту
anxiety		тревога, беспокойство
disappear		зникати, пропадати
heat		нагрівати, зігрівати, спека, тепло
waste		гаяти, марнувати
to seem		казаться, чудиться, мерещится
therefore		следовательно, по етому
insurance		страховка
coat		пальто, пиджак, китель
worth		вартість, що має цінність
during		протягом
a lot		багато
craft		ремесло, умілість
spark		іскра, іскрити
could		може, зміг, міг
would be		був би
should be		має бути, повинен бути
realise		усвідомити, здійснювати
bloody		дуже, страшенно, кривавий
would like		хотів би
suggest		пропонувати
then		потім, далі, тоді
asset		актив, цінна якість
prior		попередній
advisor		раднік, консультант
vehicle		транспортний засіб
than		чем, кроме, как
revenue		дохід
disappear		зникати, пропадати
consumer		споживач
confuse		плутати
accelerator		прискорювач
entrepreneur		підприємець
break into		вдиратися до
refine		удосконалити
once		одного разу, як тільки
bootstrapping		самоналаштовування
stage		етап
approximate		приблизний
to recap		підбивати підсумки, резюмувати
axis		геометрична ось
former		колишній, минулий
smart		розумний
perhaps		можливо
forward		вперед, далі
destiny		доля
sure/certain/confidence	сьортен	100%/певний (деякий)/впевненій в собі, самовпевнений
awful	увфул	жахливий
guess	гес	відгадати, здогадатися
faith		віра
convince		переконувати, запевняти
quote		цитата
impression		враження
external		зовнішній
internal		внутрішній
invention		винахід, вигадка
waste		дармувати
courage		мужність, відвага
whole		цілий, весь
issue		проблема, видавати
browse		переглянути
refuse		відмовити
explore		досліджувати, вивчати
suspend		призупинити, відкладати
absent		відсутній, неприсутній
apart		крім, роздільно, відособлено
asset		цінна якість
charge		завантажувати, звинувачувати
complaint		скарга, жалоба
pineapple		ананас
warn		попереджати
schedule		графік, розклад
treat		лікувати, пригостити
kind 		вид, племя, добропорядність, доброзичливість
servant	сьовент	службовець
hold-held-held		утримувати, тримати в руці, зберігати
tight		щільний, міцний
confident		впевнений, самовпевнений
mind		розум, думка
perhaps		можливо
impressive/expressive		вражаючий/виразний
adjective		прикментник
bring/brought	брін/броу'т	приносити, перекладати щось прямо зараз
involve / include		втягувати / включати
promote/promotion		сприяння/просування
clothes	клозз	одяг
treasure/treasurer		скарб/скарбник(казначей)
suppose	суппоз	припустимо, уявимо
excite	іксайт	порушувати, збуджувати, захоплювати
society	сосаеті	суспільство
boast	боа'ст	хвастовство
silly		дурний
seem/seems		здаватися, вбачатися/здається
carry on		продовжуй
assignment	есаймент	призначення
braces/brackets	брейсес/брекетс	фігурні дужки/дужки, скоби
implicit		неявний, скритий
i am willing		я готовий до
above all	абов ол	понад усе
apart		крім, роздільно, відособлено
tasty		смачний
be able to		бути здатним, спроможнім
supplier/provider		постачальник/забезпечувальник
warm		тепло, зігрівати
upset		засмучений
aware/be aware	евеае	відомо, в курсі/усвідомлювати, розуміти
allocate		выделять, распределять
far		далекий, далеко
necessary/unnecessary		необхідний/непотрібний
beyond		за, по той бік
narrow/expand		звужувати/розширювати
impact		вплив
boundary	баундрі	межа
perhaps	пехапс	можливо, вірогідно
sort		вид, рід, сортувати
sort of		різновид (что то вроде)
afterwards	афтевордс	згодом, потім, в последствии
journey	джооніі	подорож
argue	агіу	сперечатися, аргументувати
prefer		надавати перевагу, предпочитать
ill/illness		погано, хворий/хвороба
shelf		полка
worse/better		гірше/краще
clever		розумний, тямущий
lazy		лінивий
strange		дивно
stand stood stood		стояти, стояв
supper		вечеря
pipe		труба
quite certain		достатньо впевнений
awful		жахливий
kind of		тих, таких, тіпа яких
boil		варити, кип'ятити
accord	ако'д	соглашение, договоренности
put on		надіти, включити
consequence/conclusion		наслідок/висновок
hole		діра, отвір
lend		позичити, надавати
afford		мати змогу
doubt		сумніви
calm		спокійний, вгамовувати, заспокоювати
quietly		тихо
wet		мокрий, волого, мочити
angry		гнівний, злий
call out		визивати
carry		нести, везти, перевозити
breathe		дихати, вдихати
ought		должен
shout		крик
ruler		лінійка
ladder		драбина
lift		підняти, зняти
fall/fell/fallen		падати/впав/падший
calm/calmly		спокій/спокійно
arrange		влаштовувати
pack		пакувати
basket		корзина
lid		кришка
pan		кастрюля
rather		скорее
feet		ноги(ступні)
quiet		тихий
to pick		вибрати
a pan		сковородка
step		крок, шаг
got up		встав
annoy		докучати, злити, дражнити
behind		за, позаду
soft		м'який, ніжний
shoes		взуття
teapot		чайник
wake/woke/woken		будити/прокидався/розбужений
ear		вухо
wet		вологість, мокрість, дождьова погода
thunder/lightning,bolt		грім/блискавка
laugh	лаф	сміх
blow up / blew up / blown up		взрывать / взорвать
bright/brightly		яскравий / яскраво
carry		нести
along		вздовж, по (по пути)
crowd		натовп, скупчення
wave		махати, хвиля
accident		нещасний випадок, аварія
at last		нарешті
rather		у деякій мірі, достатньо
took out / took off		дістав, відібрав
past		минуле, пройти повз
calm / calm down		спокій, заспокоїтись
get away		втікти, піти
in case		на випадок
wild		дикий
cruel		жорстокий
rope		канат, мотузка
just then		саме тоді
in fact		насправді, в дійсності
tie / untie		краватка, зв'язувати / розв'язувати
neck		шия
tire / tired		стомлювати / стомлений
therefore		тому, в наслідок цього
fasten		прив'язати, скріпити
front		передній
quiet / quite		спокій, тиша / достатньо
violent		жестоко, насилие
near		поруч, близько
noise		шум, звук
loudly / quietly		голосно / тихо
then		потім, тоді
realize		усвідомити(понять, осознать), здійснювати
hurry up		поспіши, швидше
edge		край(вплані край стола), границя
splash		бризкати, сплеск
manage to / managed to		спромогтися / вдалося
go on		продовжувати
ugly		потворний
past		минуле, мимо, повз
grass		трава
square		квадрат
mouth		рот
across		від одної сторони до іншої
lie		лежати, брехня
behave		вести, поводитися
agree / disagree		давати згоду / не погоджуватись
gently		обережно, ніжно, лагідно
ear		вухо
tail		хвіст
blame		звинувачувати
calm		спокійний, вгамовувати, заспокоювати
still		все ще, до сих пір
to wash		мити, прати
rather		в деякій мірі, швидше, вірніше
except		крім, за винятком
amuse		розважати, задовольняти
feet		ноги
pretend 		прикидатися, вдавати
afterwards		згодом, потім, в последствии
nearest		найближчий
upon		на
pleased / pleasant		довольний / приємний
proper		правильний
exact / exactly		точний / точно
closer / further		ближче / далі
might		може бути, міцність
inheritance		наследование, успадкування
below		нижче
precede		передувати (бути попереду)
brief / briefly		короткий / коротко
sample / example / answer	енсее	зразок / приклад / відповідь
complement		доповнення, доповнювати
feature		особливість, риса
convenient, comfortable		зручний
expect / unexpected		очікувати / неочікуваний
adult	едалт	доросла людина
restriction		обмеження
directly		безпосередньо
seldom, uncommonly / often		рідко / часто
maintenance		обслуговування
among		серед
capacity		ємкість
obtain		отримувати, добувати
terminate		припинити, завершити
aware / unaware		знати / не знати
recap		резюмувати, резюмe
manage		керувати
advice		порада, консультація
guide		керівництво, орієнтир, тіпа руководство по експлуатації
for instance		наприклад, зокрема
completely		повністю, зовсім, начисто
suggest		пропонувати
venture / ventured		наважуватись / наважився
against		проти
got to		повинен, мушу, должен
actually		насправді, дійсно
then		тоді, тодішній, потім
joke		жарт
hire		найм, взяти на прокат
essential		основне, суттєве значення
couple	капл	пара
shake / shook / shaken		трусити, хитати
lead / led / led		вести за собою
since then		з тих пір, після цього
excitement		хвилювання
recognise		роспізнати, визнавати
wide / narrow		широкий / вузький
provide		забезпечити
design		оформлення, оформлювати, конструювати
restrict		обмежити
direct		прямий
couple		пара (парні предмети)
pressure		тиск, напір
issue		проблема
fancy		уява, вигадливий
attach		прикріпляти, арештовувати
either	айзее	або (либо, один або інший)
assert	есьо'т	стверджеувати, відстоювати
shoulders		плечі
such		такий
certainly		звичайно
nod		кивати
snippet		фрагмент
to compute		обчислювати
instance		екземпляр
chunk		шматок
encounter / encountered		зустрітися / зіткнувся
guess		вгадувати, здогадуватися
obviosly		очевидно
louder		гучніше
mention / mentioned		згадати / згаданий
pocket		кишеня
belt		ремінь, пояс
put on		одягнути
consist		складатися (складаються)
certain		певний, деякий
expand		розширюватися
declare		оголошувати
recognize		розпізнати
of		від
while		поки, интервал (період) часу
whole		цілий, весь
sign		знак, подавати знак, підписувати
althought		хоча, коли б навіть
blow / blow out		удар / видувати
handle		ручка
bend / bender		згинати / згинатель
realise		усвідомлювати
ahead		попереду
flat		квартира
recognise		розпізнавати
ordinary		звичайні
beside		поруч
neighbours		cусіди
relative		родич
whether		один з кількох, чи то, будь то
stomach		шлунок
point		вказувати, точка
realised		усвідомити
look after		доглядати, дбати
tidy		охайний, прибирати
footprint		след
furniture		меблі
produce		виробляти
further		далі
throat		горло
plesure		задоволення
fool		дурень
warmth		тепло
jacket		куртка
wore		носив
wardrobe		гардероб
tan		засмага, засмагати
for a while		на деякий час
to seem		схоже, здається, вбачається
dinner		вечеря
stairs		сходи
become / became / become		ставати кимось, чимось
scream		кричати
worst		найгірший
explanation		пояснення
mood		настрій
ahead		вперед
tears		сльози
neighbor	нейбор	сусід
get back		повертатися
rear		тил, ззаду
cross		пересікати, перекреслювати
flash		спалах, блискати
revenue		дохід
temporarily		тимчасово
instantly		миттєво
interrupt		перебивати
afterwards		пізніше
enlarge / increase		розширювати(town, field, garden) / збільшувати(revenues, expences, inhabitants)
usual ordinary		звичайно
advertisement		реклама, оголошення
excitement		хвилювання
flat		квартира
pillow		подушка
replicate		повторювати, копировать
consume / consumer		споживати / споживач
feign		прикидатися, вдавати, симулювати
consider		розглядати, вважати
rescue		порятунок, рятувати
suppose		припустити, вважати
cheap / expensive		дешевий / дорогий
least		найменше
waist / waste		талія / марнувати, тратити
arrange / arrangements		організовувати, влаштовувати / плани
entrance		вхід, вихід, в'їзд
afford		мати змогу, дозволити собі
vegetables		овочі
put on		одягнути
climb / climbed		підйом, підніматися / піднявся
innocent		невинний
mystery		таємниця, загадковий
by then		до того часу
customs		митниця
extremely	ікстрімлі	надзвичайно, украй
cheek		щока
makeup		макіяж
subject		тема, тематика
luxury		розкіш
bench		лавка
honest		чесний
suppose		припустити
talk over		обговорювати
smell		запах, пахнути
unfortunately / fortunately		на жаль / на щастя
involve / invite		залучати, втягувати / запросити
caught	кот	піймати
chew	чуу	жувати
much less		набагато менше
knee	ніі	коліно
check		перевірити
useless		даремно, марно
loud		гучний, голосно
steal / stole / stolen		красти, вкрасти
whenever		коли зпвгодно
act		діяти, дія
let into		впустити
disappoint / appoint		розчаровувати / назначати
ceiling	сілін	стеля
guess		здогадатися, вгадати
rough	раф	грубий
mess		безлад, не охайний
switch / switched		перемикач / перемкнув
tie		зав'язувати, краватка
rope		мотузка, канат
pretty		красиво, гарненька
injury		травма
robbery		грабіж
otherwise		інакше, в іншому випадку, бо
soon		незабаром
tab		вкладка
conversion		перетворення
exponent		показатель степени
complexity		складність
lookup		пошук
match		збіг, совпадение
depends on		залежати від
allocate		виділяти
approach		подход
indent		відступ, абзац
find out		дізнаватися, виясняти
layout		розташування, макет
violate		порушувати
ensure		забезпечити
substitution		заміна, підміна
maintan		підтримувати в робочому стані
prohibited		заборонено
